영화평점,영화감상평
10,“ 경 이 롭 다 ”롤러코스터를 처음 타는 기분
10,500포인트감사합니다
2,3시간내내 복수때문에 싸우기만하는영화
10,최고입니다 3편도 기대하고 있어요!!
10,"압도감,,감동 하아...여운이 너무많이 남네요..영화보는내내 한 다섯번은 운것 같아요3편 너무 기대됩니다.. !!"
9,기대를 너무 많이하고 봐서 실망도 쪼금 되ㅔ네요.. 그래도 바다가 아름답고 좋았어요 근데 스토리는 뭔가 비어있는 느낌이랄까.. 연기가 다 살린 것 같아요 그래도 볼만 했어요
10,화려한 영상으로도 커버못한 부실한 스토리와 설정들
2,1점을 주고 싶었지만 나의 200분이 아까워 2점
10,현존하는 영화 중 가장 화려한 영화였음
10,"Esoteric, but popular"
5,내용이 알찬듯 아무것도 없는느낌
9,그래픽 개 쩐다. 유치하지 않고 정말 실감나고 작은 음직임 하나도 대단히 섬세하게 실제 같다. 한국 그래픽은 이거 따라가려면 아직 멀었다. 기본적으로 철학이 없는 그냥 노가다 작업물들에 불과한 수준이다. 아바타2 그래픽은 정말 그래픽의 새 시대를 열고 세대의 진보를 이루는 느낌이다.
10,재밌습니다. 3d로 보면 더욱 재밌습니다.
7,눈만 호강하는 영화. 3D 아니면 비추
9,전작만큼의 설렘은 없지만 그래도 대단한 작품
10,그냥 보세요. 진짜 멋짐
8,"영상미는 훌륭 스토리는 평범한데 중간중간 개연성 없는 부분들이 있음, 중간 부분에서 자는 관객들 발생"
10,몰라 암튼 나도 같이 수영함
10,너무 예뻐요… 진짜… 감탄… 그냥 최고…쓰리디로 봤는데 포디로 보고 싶어짐…스토리는 솔직히 극찬할 정도는 아닌데 영상미가 진짜..
10,영상미만 좋다고 해서 봤는데 스토리 액션 모두 괜찮고 재미있어요 개인적으론 1편보다 재미있었어요
9,"생각했던 것보다 액션의 스케일이 크진 않았지만, 아름다운 영상미학으로 모든 걸 압도한다."
10,에바입니다 넘 재밌어요
10,십여년만에 전 결혼해서 딸둥이까지 생겨벌임~~~ 애들두고 3시간이 넘는 시간을 혼자 오롯이 처음 써봤습니다. 그게 내가 기다린 아바타2다~제임스씨~♡ 꼭 손익분기 넘겨서 저에게 또 큰 힐링을 주세요ㅎㅎ 넘 행복한 시간이었습니다ㅜㅜ
10,스토리가 애매한긴 하지만 영상미 하나로 극장에서 볼 이유가 충분해요
10,"여러가지 생각이 들게 만드는 영화였고, 그냥 최고임. 꼭 보셨으면 함."
8,물을 환상적으로 보여주는 영상미가 참 대단했다
8,2편에 새로 등장한 네이티리 자식들 모두 코가 너무 얇고 눈썹도 도드라져 보기 좀 어색했어요
9,1편이 워낙 뛰어나서 2편은 9점만 줍니다
10,눈이 호강했던 세시간. 인생영화 등극
10,"진짜최고요,, 또보러갈거잊"
9,스토리가 단순한데 길다라는 평도 있는 것 같은데 저는 괜찮았습니다. 개인적으로 아바타는 다른 영화와는 다르게 관객이 나비족이 되어 경험하는 영화라고 생각해서 모든 연출과 영상미 그리고 스토리까지 만족스럽게 봤네요. 이 돈 주고 보기 미안할 정도로 영화관에서 꼭 보아야 할 것 같은 영화였습니다.
10,"그냥 난 아바타 세계관이 너무 좋았고, 툴쿤, 특히 파야칸이 너무 좋았음. 이런 세계관을 만들어낸 제임스 카메론 감독님에게 감사하고, 아무 것도 없는 환경에서 진짜 나비족처럼 연기한 모든 배우들 진심 사랑한다고 말하고 싶음."
10,경이롭다. 다만 더 스펙터클하길 바란다
10,영화에 대한 사랑이 느껴져서 너무 좋았고 정성이 느껴져서 너무 좋았다 영화 끝나고도 오열했다
1,지루하고 잔인하고 재미도 없었다.
10,"영상미가 너무 좋아 아직까지 n차 관람중입니다. 모든 포맷으로 다 관람했는데, 3D는 돌비로 보는 것이 음향과 색감을 가장 잘 느낄 수 있었고, 2D는 CGV 리클라이너로 가장 편하게 관람할 수 있었던 것 같습니다. n차 관람할수록 더 재밌게 느껴지는 아름다운 영화!"
10,"1을 안보면 못볼것같음. 1도 보려면 돈을 내야해서 그럼. 그냥2도 그냥봐도 재미있을것같긴한데 2d로 보면 실남안나고 3,4d로 보는걸 추천."
10,"아바타 1이 주는 메세지, 감동이 아주 오래도록 남아 있었는데 아바타2 역시 최고의 영화로 남을만큼 재미와 감동, 메세지가 크게 다가오네요.가족들과 넘 좋은 추억으로 남을듯해요."
10,192분 아바타 물의길 이기에 가능했던 시간
9,3시간이 화면 영상에 빠져서 그리 길게 느껴지지 않았습니다. 1편을 너무 재미있게 봐서 그런지 모르겠지만 스토리면에선 1편보단 조금 아쉬운부분이… 하지만 화면영상은 최고에요무조건 3D추천..
9,제이크 설리의 위대한 두번째 모험이야기
10,아바타1을 2d로 봤는데 이 작품은 내 인생 첫 3d영화인데 그래서 그런것도 있겠지만 (이런 3d 풀영화가 있었음?) 완전 환상이었어요스토리는 중간에 좀 길다싶은 점이 있었지만돈을 더 주더라도 꼭 놓치지않고 보고 싶었던영화입니다.
9,"돌비애트모스로 영등포 CGV에서 관람했다.우선 아름답다. 진짜 물의도시가 있다면 이러지 않을까 하는 생각이 들 정도로.주변에 50대 둘과 함께 영화를 봤다. 감흥없다. 아무런. 재미없단다.같이간 일행중 20대와 30대도 있었다. 중간에 지루했지만 볼만했단다. 특히 영상미가 끝내줬다.돌비애트모스로 보며, 선명한 화질과 꽉꽉채워진 음질에 만족했다.40대도 한명 있었는데, 재밌었지만 힘들었단다. 의자가 딱딱해서.두시간 버티게 만든 의자를 3시간을 보고 앉았으니. 그럴만도 하지.나는 30대 후반이고 영화 재미있게 봤다. 정말 아름다웠고 절정일땐 황홀할정도였다.하지만 1편만큼의 극적인 재미는 없다. 다만 2편은 3편을 위한 영화라 들었다.3편도 기대한다. 다만 당분간 영화는 못보겠다.나또한 엉덩이랑 허리가 너무아프다."
10,보는 내내 눈이 심심하지 않았다
8,이야기가 재밌다기 보다 판도라 현장체험과 4dx효과가 꿀잼
10,얼른 3편요 얼른!! 현기증난단말이에요..ㅠㅠ
10,감독님 만수무강 하세요
8,아바타 바닷속 탐험 이쁘고 좋았어요 전쟁은 아쉬웟지만요
10,"영상미의 충격을 넘어 가족의 사랑과 화합의 메세지를 고스란히 담아 전달한 아바타 물의 길, 13년의 기다림은 성공했다."
9,영상미에 황홀하였습니다. 정말 잔잔하니 스토리가 좋아서 3시간짜리 영화가 시간가는줄 몰랐네요 하지만 엄청난 액션씬 이런걸 기다하진 않았으면 좋겠네요
8,1편보다 나은듯 싶네요 지루할줄알았는데 금방 시간이 가는듯요
8,확장시키고 역시나 영상미는 ㄷㄷ
10,인생 영화입니다. 말이 필요없어요.. 보시면 알게 될겁니다!! 1편도 좋았지만 1편보다 영상미와 스토리가 볼거리가 더 풍부해졌어요!! 아이맥스로 꼭 보세요!
10,3시간 정도 환상의 세계를 경험하고 싶으면 아바타를 봐.
8,제대로 체험 하고 싶으면 4dx로 보시고 끝나고 어지럼 주의(3d안경)
9,스토리는 좀 아쉽지만 영상 하나는 끝내줌~
1,2시간 보고 뒤 1시간 꿀잠 잠.별로 보고 싶지도 않은 스토리 아이맥스로 본다고 깝치다가 코로나까지 걸림 에혀..
10,3시간동안 시간을 한번도 안볼 정도로 시간가는 줄 모르게 보는 내내 영상미에 압도 당했음.최고의 3D영화로 마치 내가 그 영화속 배경 안에 있는것 같은 착각을 느낄 정도임.아바타2를 3D로 극장에서 안본다면 앞으로 극장에서 이런 감동은 한동안 느끼지 못할 것임.
4,1. 괴물 나오는 건 싫다. 2. 회가 먹고싶어 진다. 3. 아들 똑바로 둬야 한다. 4. 영상미는 5분이면 적응 끝. 5. 아바타는 못생겼다.
10,일단 무조건 아이맥스3d로 보세요. 4d는 다 스크린이 매우작아서 비추입니다. 어줍짢은 뮤지컬보느니 이거보는게 훨씬낫습니다.
2,"스토리가 너무 최악이네요. 그냥 무난하기만 했어도 괜찮았을텐데, 보기 불편할정도로 개연성이고 감정선이고 다 부셔놓은 수준이라 실망. 그리고 아이맥스랑 3D 둘 중 하나만 선택해야할것 같아요. 두개 같이하니까 3시간 동안 보기에는 눈이 너무 힘들었어요"
10,아름다운 자연을 보여주는 장면들로 만든 최고의 감동
10,영상미도 지려 내용도 알차 진짜 ...
6,그냥 재미가 없음그래도 영상미 등 .뭐.그냥 6점줌
10,바닷속 영상은 최고였어요. 또 OST는 일상에 지친 마음 속에 큰 울림과 평온을 주네요.
9,영화관이 필요한 이유 그 자체!!!부산에 돌비시네마 좀 만들어줘요!! ㅠㅠ 대구까지 원정가서 보고 옴...
10,진짜 눈이 즐거운 영화! 3편도 기대됨
7,"***스포있어요. 영화본 사람만 읽길 바라요.***역시 아바타2ㅍ영상미 죽임. 그러나 스토리가 얼척없음. 1편 활약으로 부족장이 된 주인공이 적장애기 같이 기르다가 빼앗겨서 공격 당할까봐 족장 버리고 잠적..(엥?) 아내말은 귓등으로도 안듣고, 가족을 위한거라며, 부족을 버리고, 도망 갑자기 유랑민 되어, 남의 부족에 능욕당하며 기생시작, 자식들은 텃세와 더불어 왕따당함. 근데 보족이 아니라, 화합함.ㅋㅋㅋ 기생한 부족민에게 피해를 주고, 복수하자는 네이티리 말은 또씹고 숨김. 참다못한 새끼들이 나서다 경험부족으로 당하자, 구출하러 나감..쓸어버릴 생각안하고 구출만 하고 돌아오다가 다시 잡히고, 결국..0하고, 그제서야 싸움. 그리고 엔딩에 1편과 동일한 엔딩, 비슷한 멘트를 갖다가 마무리. 쥔겅: ""이제야 알겠다."" 항상 뭔가를 잃어버리고, 당하고 나서야 알겠다고 깨닫고, 담편(13년만에)에서 또 같은 실수를 하니...스토리에서 고구마 급체로 잠깐 죽었다가 병원 응급실에서 겨우 살아나서 호흡기 단 병상에 누운 느낌으로 사이다 패스 선호하는 사람은 개짜증나는 스토리임. ***결과- 얻은것: 수중스킬, 새로운 부족민 인정(주민으로한정)잃은 것: 부족장, 미래예언가(?)위치, 부족민들, 지0끼 ...***이것만 봐도 고구마전개인 걸 알겠죠? 자세한 평을 쓰다보니 스포가 되어버렸는데..평점에서 좋은 것밖에 안 쓰여 있길래, 스토리가 나만 짱나나? 싶어서 공감댓 얻을까 싶어 적어봄."
10,4dx3d로 봐야됨 놀이동산 온거같고 돈이 안까웠어요 잠도확깨고 재밌고 감동적입니다
10,영상미가 너무 아름다웠어요
10,I MAX관에서 3D로 관람했어요기대했던 것보다 재미있었어요긴시간이었지만 시간 가는줄도 모르고스토리나 영상미에 흠뻑 빠져서 봤네요
10,압도적인 영상미 남돌비에서 3시간동안 계속 황홀했어요 너무 너무 추천! 평생 기억 날거 같아요. I see you...
6,이렇게 영상이 좋아 보는 영화는 걍 2d로 보세요.시커먼 3d로보고 답답해 죽는줄
10,모든게완벽 재미 그이상 지렸다
8,처음에 파랭이들 구분하기가 힘들었음 3시간이라 다소 루즈한감이 없잖아 있긴하지만 나름 스토리도 좋고 재밌게 봄 근데 전체연령가로 바꿔도 될 듯
10,별로라는 평도 많아서 기대 안하고 봤는데 너무 재밌었어요.. 감동도 있고 가족들도 다 재밌다고 하네요
10,영화 아예 안 보는 나도 아바타는 보러왔음 ㅋㅋ
9,환상적이었어요 ㅠㅠ 최고
8,보는것이 아닌 체험하는 영화
10,그냥 대자연 느끼고 싶으면 보세요.스토리도 1편에 비할게 아닙니다.
10,너무좋아합니다 너무사랑합니다
9,동네 일반관에서 봤음에도 3시간이 길지 않도록 재미있었음.
10,그냥 레전드 마치 내가 카메라가 된 기분
6,1편의 감동 대비 50% 정도. 영상은 괜찮으나 줄거리는 초반 지겨움. 액션 약함. 싸움은 다른 사람 필요 없이 가족이면 다 됨. 전반적으로 각본이 약함. 꼭 3D로 봐야하는지 의문.
9,처음 한 시간여는 졸려요. 허나 물 속 세상이 나오니 극장에서 봐야 할 영화가 맞네요. 후편도 극장에서 볼겁니다. 저는 물공포가 조금 있지만 적당히 작은 관 중간자리에서 보니 저희집 티비보다 화면이 작아서 무섭지 않았어요ㅎ
9,3시간동안 감상하는 4K 고화질 게임 트레일러
6,진짜 잘만들었는데 이상하게 재미가 없네...아주 잘만든 아쿠아리움 구경한 기분스토리 전개에 방해되는 시간 질질끄는 장면 너무 많고 등장인물 감정라인에 공감을 못하겠음
8,아이맥스로 재관람 해야겠어요
10,베리굿굿구ㅛ숫굿굿
10,이렇게 시각적인 즐거움을 준 이들에게 감사함을 표합니다.
10,3가 너무 기대되나요...
8,영상미 하나만큼은 2022년 최고 개봉작 이라고 할 수 있는 작품
10,"마지막 장면 제 오열버튼,,, 영상미랑 스토리, 교훈에 마지막 여운까지 완벽해요 아바타 5편까지 쭉쭉 나와주세오,,,"
1,진부하다. 뻔한 스토리 감동도 교훈도 재미도 없음
10,진짜 너무 재밌고 3시간이 후딱 지나가는 감동적인 영화다~^^
8,다음 후속작도 빨리 보고싶어요!
10,아맥으로 꼭보시길 최고였어요
10,영상 하나하나가 예술이다
8,기술은 계속 해서 진화하고 아바타는 계속 해서 신성함을 준다.
10,혹시나 햇는데 역시나~~~
10,진짜 최고였다… 재밌게 잘 봤습니다
10,Imax 3d도 좋지만 영화 색감을 3d 안경 때문에 영화 색감을 생생하게 느낄수 없어서 아쉬웠어요 ㅜ 2d랑 비교했을때 생생한 색감을 느끼려면 2d 추천드려요! 저는 아바타 1만큼 재밌었다고 생각합니다
1,내용 재미가 없어요..
10,아바타3가 기대되네요ㅎㅎ정말 영상이 웅장해요ㅎㅎ10년 어케 기다리나여..ㅠㅠ
10,3D로 봤는데 생동감 있고 감동까지 주는 넘넘 잼있었던 영화~♡♡
10,시간 가는 줄 모르고 봤어요 빨리 다음 편 보고싶어요
1,그냥 즈그 cg자랑하고 스토리는 엄청 지루함. 공짜티켓 아니었으면 1시간 못채우고 나갔다. 인생 최악의 영화 중 하나
8,여전히 흥미로운 판도라행성의 스토리
9,단순복수극으로 인한 가족의 위험을 헤쳐나가는 본격모험다큐가족드라마SF내용은 심플햇으나 뭔가를 담으려한 시도가 덧보엿고 물욕심이 심한 감독이라 타이타닉의 오마쥬도 엿보인다단지 이번영화로하나 짊어보자면 계속 같은 느낌으로 가기보단 담번에는 나비족끼리의 대립으로 전투가 이루어진다던가. 생뚱맞게 우주로 나간다던가 하는 것도 고려해볼만 할듯등장인물도 1편의 인물들이 주가 되는 느낌이 너무 강해서 임팩트가 떨어지는 느낌도 다소 있기때문에 후속작에선 좀더 강렬한 신케릭터들이 나오면 좋을것 같다
8,"수중씬같은 영상미가 매우 거대한 황홀경을 선사하긴 하나, 스토리는 그에 미치지 못한다. 등장인물들도 평면적으로 그려져서 아쉬움. 그래도 보고나서 계속 찾아보게 되고, 또 보고 싶은걸 보면 아바타1의 경이로움이 2에서도 여전히 느껴지나보다."
10,영상미에 압도되는 영화
10,진부하고 대승적인 주제의 영화가 재미없다면 제작비를 충분히 사용하지 않았다는 뜻입니다.
10,메가박스 돌비시네마에서 보세요! 용아맥보다 훨씬 좋습니다. 진짜 눈이 맑아지는 느낌...
5,어제 보고 왔는데…중반까지 좋았는데 후반에 너무 질질 끌었음
9,"영화 같은 영화! 스토리 전개의 속도가 정통적(?)이어서 (반전의 반전, 이해하기 어려운 내용, 과도한 영상 편집, 재미를 위한 과도한 짜집기 없이) 영화 마지막 부분, 세대가 바뀜을 알려주는 부분에서 아바타의 범우주적 세계관의 교훈이 확 와닿았다."
2,전형적인 애새끼들 나오면 뻔한 스토리 하지말라는 짓 꼭 해서 발암 유발하고 너무 억지스러운 스토리네요 1편에 비해 너무 재미없었습니다
10,아맥 3d로 보니 넘 최고
10,연기를 너무 잘하고 스토리가 감동적이어서 올해 가장 크게 울음
4,마지막 부분은 확실히 재밌지만 빌드업 구간은 참기 힘들었음... 1은 첨부터 끝까지 개몰입해서 봤는데. 1보다 못한 2 별점 낮춰야함.
2,영상미좋은 영화.. 스토리라인이 너무 루즈했습니다.
8,cg 정말 좋았습니다!!
9,영상은 끝내줌!!스토리는 글쎄...굳이 3시간 넘는 시간으로 만들었어야하나...극장에서 보는 것을 추천함....
8,제임스 카메론의 비싼 해양 가족 다큐
8,볼거리는 많은데 스토리는 빈약. 악역의 임팩트가 떨어진다. 그래도 3편 나오면 보러가겠지
10,왜 재미없다고 하는지 이해가 안가네3시간 순삭이엿습니다진짜 재밋엇어요
10,이런 영화를 만들어준 카메룬감독께 경의를 표합니다. 제가 살아서 이감독이 만든 영화를 볼수있게해준 신께도 감사합니다.
10,스토리는 약간 재미없을수도 있지만 영상미가 그것을 수백배로 채워줌이런 영화를 또 언제 볼 수 있을까개인적으로 3D 보다 2D가 나을듯안경 끼면 어두워져서 그 황홀한 그래픽을 못담음
7,아바타 1를 본 뒤 용산 아이맥스에서 2를 봤는데 스토리가 좀 빈약하긴 해서 아쉬운 마음이었습니다. 영상미는 좋았는데 아이맥스 2D가 있었다면 더 좋았을 것 같은 느낌.
7,스토리가 너무 뻔하지만 영상미 하나는 볼만 했습니다.아쿠아리움에 있다 나온 느낌이네요. 좋습니다.
10,잼있었어요 3편이 기대되네요~
5,일단 러닝타임이 너무 길고... 하루종일 물 속에 있다 나온 느낌이고 너무 지루한 감도 있네요.. 1편에 비해 그냥 그럭저럭
6,생각보다 별로였습니다. 1편과 스토리는 똑같네요공중전에서 수중전으로 바뀐것하고 시간만 늘어난 느낌
7,1편의 시각적 황홀경 이후 10여년간 다른 영화의 특수 효과로 눈이 길들여진탓일까 2편은 스토리도 평범한데다 시각 효과도 예전의 감동은 덜한듯 하다.1편과 개봉 시기 간격이 짧았더라면 여러모로 좋지 않았을까란 생각이 든다.
6,"영상미는 좋았으며, 가장으로써 책임감 등등"
8,"발전 못한 스토리, 진화한 영상미"
8,13년만에 또다시 경이로운 체험을 했다
10,1편은 영상에 빠져서 봤는데 2편은 영상에 스토리까지... 최고네요ㅠㅠb
10,그냥 바라 돈이 아깝지 않다. 이런 영화가 잘 되어야 허접한 영화 반성한다.
10,전작도 최고였는데 후속작도 완벽
10,왼전 재밌음 ㅠㅠ 지금 3번째 보는중임….
10,영화보고 고래가 죽는장면에서 엄청울었어요. ㅠ 마음아팠어요.
1,솔직히 재미없어요
10,전작인 아바타1을 다시보고 싶어질 정도로 이번 2가 재밌었어요!
9,앞으로 거절을 말할땐이뺠을 드러내며 캭!!!!
10,내가 판도라에 온 줄 알았음
10,N차 관람 예약 말이 필요 없죠
10,조금 지루한감이 중간에 없지않았지만 전반적으로 좋았다
8,파파야 폼 미쳤다 ㄷㄷㄷ
10,최고입니다. 3편 빨리 보고싶다
1,마이너스 안되냐?이걸 영화라고 만들었냐?
9,"스토리는 그닥, 연출 및 CG는 최고"
10,3시간 순삭! 볼거리 가득합니당.
10,눈도 즐거웠지만 스토리도 정말 잘 만들었다. 지루한 것도 전혀 없었고 인생 영화 등극함! 뺄 내용도 없고 딱 적당했음. 밤샘+3시간이었지만 영상미랑 스토리 때문에 엄청 몰입하면서 봤다. 물 좋아하는 사람으로서 1편보다 훨씬 꿀잼! 사람마다 느낀 점이 다르겠지만 다들 한 번은 무조건 봤으면 좋겠음!
10,영화가 길지만 전혀 지루하지 않았어요영상을 화면에 잘 담아냈고 스토리도 감동있어요 꼭보세요
10,후유증이 너무 커요.. 3시간 동안 너무 즐거웠고행복했어요 이제 3차로 보려구요
9,기대에 부응하는 속편
8,"가족영화, 중간엔 좀 지루함"
8,영상미가 전부.. 러닝타임 3시간 치고는 스토리 아쉽..2D로 보고 수퍼플랙스G 3D로 보러갔는데 다보기가 힘들어서 1시간만 보고나옴. 2D로 한번은 볼만함
9,3시간이 지겹지 않았네요
10,물이 좋아서 더 재밋게 잘 봣어요
10,3시간 그냥 후딱 가버림
10,그냥 재밌다라는 말로는 도저히 표현이 안되는 영화. 카메룬 감독과 동시대에 살아간다는건 축복 그 자체다.
10,넘 재미써요...진짜 상영시간내내 지루할틈이없는ㅠㅠ
9,"3시간 정도 되는 런닝 타임인데, 대자연. 지루할 틈 없음"
10,종합 엔터테이닝 세트!
10,"가족애를 느낄 수 있어서 서사도 좋았지만, 진짜 빠져들 것만 같은 그래픽이 죽여줬음. 금상첨화다."
10,환상적임~~!!!!아이들 꼭 보여주세요~~
10,외계 행성 간접경험 잘하고 왔다
6,인간은 자연을 파괴하고 감독은 인간이.자연을 파괴하는걸 작위적으로 보여주려다가 영화를 파괴했다.
10,"4DX 스크린 3D로 봤는데, 걍 미쳤음의자도 흔들리고 3D라서 그런지 바다속의 물고기가 된 것 마냥 헤엄치는 줄 알았음.연출도 엄청 뛰아나다라고는 아닌 것 같지만, 미쳐버린 영상미와 이해하기 쉬운 스토리들을 적절하게 잘 연결 시켜줄 정도로 좋았음!"
10,진짜 눈물났숩니다ㅠㅜㅠㅜ
10,너무 재밌게 봤습니다!! 옛날 생각나서 아바타1도 찾아봤어요ㅠㅠ
10,그냥 바다속에 있는거같은 영상미..
4,1편을 넘 기대해서 인가..영상미는 좋았지만 조금 지루한 연출과 계속되는 전투신으로 인한 지루함..그래서 이번엔 별 두개!!
8,1편보다 뛰어난 2편은 없다를 뒤집진 못 한듯. 스토리 개연성에서 의문점이 좀 있으나... 영상미 하나는 끝내줌.
7,영상굳.스토리는 글쎄.
10,영화관이 아쿠아리움인줄 ㅠ 생각보다 개 슬픔 ㅠ 한참 울었네
8,미친 cg에 눈 호강하다...
10,잊고 살던 아름다운 세계에 대한 갈증을 풀어준 영화 3편도 얼른 보고싶어요 ㅎㅎ
10,영상미가 엄청납니다
7,1편 안보고 가도 감동받을 수 있는 2편이 또 있을까
10,다른건 모르겠고 가슴이 웅장해진다...
10,진짜..역시 갓바타다
10,수중이라 그런지 간지이네요
10,정말 최고의 영화였음물론 스토리는 다소 지루한데 그 지루함을 영상미로 모두 채워주는 느낌이었음친구랑 같이 보러갔는데 가족들이랑 한 번 더 보러 갈 예정임친구들이랑 보는 것 보다는 가족이랑 보는 게 더 뜻깊은 영화가 될 것 같음영상미는 영화관에서 보지 않는다면 아마 다 담아내지 못 할 것으로 생각참고로 아이맥스 광교에서 봤는데 아이맥스 광교정도 화면 크기는 필수이지만 굳이 3D로 보지는 않아도 될 듯
10,작년까지통털어최고였어
9,영상미는 최고 스토리는 잘모르겠음 아이맥스로 아바타 3 볼 의향 있음
10,재밌습니다 최고 예요 두번쨰 봤네요
8,화면 1초당 2.3억이 들었다고 하니 .. 대단한 감독이 돈을 펑펑 쓰면 이런 결과물이 나온다. 영화관에 앉아서 하는 외계 해양 생태계 대모험.
8,"중반부 부터는 스쿠버 다이빙 하는 기분.러닝 타임이 굉장히 길어서 중간에 살짝 졸았으나,전체적으로 인물들이 입체적이진 않아서 이해는 잘 됨."
10,너무 감동적이었고 내 인생영화 중 하나이다!!빨리 아바타3가 나왔으면 좋겠다.♡♡
6,지루합니다. 가족애가 전부
10,인간에 욕심으로 멧케이나족 바디에서 고래사냥같은 포경을 볼 때 나도 모르게 죄책감이 듭니다네테이얌을 왜 죽여ㅠㅜㅠ
9,무조권 보세용 짱 잼나용!!!3편도 나오면 꼭 봐야징
7,십수년만에 나온 기대작 치고는 아쉽긴 했음
10,아바타2 넘 재밌어요 영화를 보면 제가 판도라 행성에 있는 거 같아요
9,영상미가 예뻐서 한 번 더 보고 싶어요. 바다나 물을 좋아한다면 영화관에서 보면 참 좋을 것 같아요.
10,가족과 함께 보기 좋은 영화
8,"아이맥스 3D로 봤는데, 굳이 3D로 안보고 2D로 봐도 괜찮았을 것 같습니다.연출, 영상미 정말 좋았고, 후속작이 기다려집니다.다만 스토리적으로는, 전작에 비해 임팩트 있진 않았습니다. 다른 시리즈물 외전, 혹은 애니메이션의 극장판 스토리 느낌.."
8,CG에 화려함 때문에 보는느낌 내용도 괜잖았어요
10,이영화가 8.81이라는 평가가 더 놀랍다
8,또 다시 12년을 기다리라고 해도 후속편을 기다릴테다
9,해양다큐한편 잘 봤습니다.3편역시 기대해봅니다.
10,무조건 3d나 4d로 보세요!! 첨에 지루하다가도 점점 빠져 들어가는 존잼
10,비주얼 보는 것만으로도 즐거움
8,3편은 빨리 나오길~~~
10,"진짜 생동감 넘치는 연출부터 짜임새 있는 스토리, 배우들의 연기까지 하나도 빠짐없이 완벽했고 그 덕에 인생영화까지 바뀌고 처음으로 영화 리뷰까지 쓰네요. 처음엔 그냥 다 본다길래 한번 봤는데 나올때는 아바타에 푹 빠져서 나왔습니다 진짜 안 본 분들한테 꼭 추천해드리고 싶고, 안보시면 진짜 후회합니다 아바타 시즌5까지 쭉 가길~"
10,마블을 기대한다면 보지마삼 하지만 진짜 연출이랑 영상미가 미쳤다
10,"역시나 기대를 실망시키지 않는 아바타!감독님과, 스태프들, 배우분들의 연기가 너무 멋졌습니다! 아바타가 인생영화가 됐어요!"
10,"너무나도 아름다운 영상, 가족에 대한 의미, 새로운 곳에서의 시작. 2023년을 시작하기에 좋은 메시지들과 영감의 시간이었다."
10,굿 정말 신비롭고 13년동안 기다린 보람이 있었습니다
10,미쳤어요 넘 잼써 ㅠㅠ
10,영상미가 진짜... 말도 안되게 예뻤어요. 3시간 풀 타임으로 몰입해서 보기 쉽지 않은데 지루함 없이 재미있게 보고 왔습니다 다만 자리 잡으실때 꼭 중간에서 보시길 추천드려요. 측면에서 보면 약간 흐릿하게 보일 때가 있어요
10,영상미하나로 다 씹어먹는 영화
10,"24000원으로 이런 고퀄을 본다고요..?영상미가 가성비 넘치는 수준,,, bb"
7,"영상미 하나만으로 충분히 볼만합니다.중간에 화장실 여러번 다녀와도 전혀 지장없을 정도로스토리는 단순하고, 3D 안경을 3시간 동안 쓰고 있으니두통이 오더라구요 ㅠㅠ두 번 보고싶지는 않네요"
2,3시간짜리 외계행성 다큐라면 10점을 줘도 모자라지만 스토리가 너무함
8,지루하진 않을거 걱정햇던건 기우였음!! 흥미진진 몰입하게 만드는 좋은 연출과 CG기법 시나리오 다 좋아용
6,엄청난 비주얼 그에 못 미치는 스토리
10,보는 게 돈버는 영화!. 런닝타임 3시간 이지만 판도라세상에 갇히고 싶었다. 카메론형 내한해서 코로나 걸렸다는데 형 힘내 ! 3편가야지 ㄱㄱ
2,아바타 1보다 재미없으며 영상미 빼고 내세울만한게 없음. 스토리도 에바
10,시간이 빨리 지나갔어요
10,4DX로 본 나 매우칭찬해
10,모든게 완벽하다 인생영화중에 들어감 크으이건 영화구나라는 느낌이 아니라 판도라라는 행성이 있구나라는 감상평 다만 3편을 위한 2편의 느낌이 강한데 3편을 위해서는 2편이 잘되야 되기 때문에 모두들 많이 봐주세요
10,"나비족이 된 기분 ,,,"
10,아름다운 배경속 서로를 지키는 가족영화.
9,갠적으론 2022 최고의 작품인듯
10,가족스토리..1편하고 장르가 다르다고 느껴짐부모와 아이가 보기 편안한 내용
2,1편이랑 너무 비교도 안되게 망작이아닌가 생각해봅니다 .. 줄거리가 없는 영화 눈만끔뻑끔뻑ㅡㅡ
2,네셔널지오그라피를 보는 지루한 느낌과 외계인이 지구인을 학살하는 것을 처다보고 있어야 되는 아이러니하게 느껴지는 생각. 반전 없는 스토리 참신한 아이디어는 없음.
10,"저는 아바타 1를 엄청 재밌게 본 건 아니었는데, 2는 생각보다 너무 집중해서 잘 봤습니다!2가 더 잼났던 것 같아요!!!"
6,영상미는 최고내용은 너무 지루함
5,떡밥만 잔뜩 뿌리고 회수는 안 함. 3편은 보겠지만 제대로 회수하길...
10,왜 열글짜까지 써야합니까?
7,훌륭한 영상미에 비해 너무 질떨어지는 스토리
10,난 아바타가 이렇게 슬픈 영화인지 몰랐음 너무 재밌고 빨리 3나왔으면 좋겠다 천만관객 가주아
10,3시간 동안 입 벌리고 봤다. 아바타는 아바타다...
10,이건꼭봐야해요 갓띵작
9,"우리 가족 4명 만장일치로 9점. 아바타 1은 당연 10점이었는데, 2는 10점 주기는 아주 조금 부족한 듯."
10,완벽한 영상미 반드시 3D로 봐야만하는 !!
10,3시간 러닝타임이 짧게 느껴집니다
